idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1978,-3.9608305480725496,-4.680734787654106,-3.9608305480725496,-4.680734787654106,-3.6883398924887043,-3.9756118922770898
1979,-3.8597434915862423,-4.5459520456723626,-3.8597434915862423,-4.5459520456723626,-3.553557150506961,-3.8408291502953467
1980,-3.8065381012495862,-4.307893169230013,-3.8065381012495862,-4.307893169230013,-3.5635969978559614,-3.7790509976972504
1981,-3.5657203364994166,-3.859820754361339,-3.5657203364994166,-3.859820754361339,-3.3699099621393636,-3.6165088322028267
1982,-3.6238790050012297,-3.9276725342801213,-3.6238790050012297,-3.9276725342801218,-3.471687632017537,-3.6843606121216084
1983,-3.788484331331957,-4.11971208166597,-3.788484331331957,-4.11971208166597,-3.7597469530963092,-3.876400159507457
1984,-3.5742494707411407,-3.869771410976684,-3.5742494707411407,-3.8697714109766843,-3.384835947062381,-3.626459488818171
1985,-3.259591069372435,-3.502669942713194,-3.259591069372435,-3.502669942713194,-2.8341837446671456,-3.259358020554681
1986,-3.585658773418796,-3.9425669622369797,-3.585658773418796,-3.9425669622369797,-3.3445167111914387,-3.650592655646764
1987,-3.6367103222262345,-4.003828820805905,-3.6367103222262345,-4.003828820805905,-3.446619808806316,-3.7118545142156902
1988,-3.6483208385374337,-4.017761440379344,-3.6483208385374337,-4.017761440379345,-3.4698408414287143,-3.7257871337891286
1989,-3.580929467546562,-3.9368917951902986,-3.580929467546562,-3.9368917951902986,-3.3350580994469703,-3.6449174886000835
1990,-3.582756192168905,-3.8796959193090763,-3.582756192168905,-3.8796959193090763,-3.3997227095609683,-3.6363839971505634
1991,-3.6088837204475936,-3.9101780356342126,-3.6088837204475936,-3.9101780356342126,-3.4454458840486737,-3.6165088322028267
