idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1949,-37.360567356168566,-31.192148486824394,-35.340231858045975,-31.192148486824394,-24.55151498178129,-28.340283829494325
1950,-45.63371480378056,-39.46529593443639,-43.61337930565797,-39.46529593443639,-32.824662429393285,-36.61343127710632
1951,-42.06984533329327,-37.92176196207169,-42.06984533329327,-37.92176196207169,-31.04063511763664,-34.56015959046919
1952,-43.00594980375307,-38.85786643253148,-43.00594980375307,-38.85786643253148,-31.97673958809644,-35.49626406092899
1953,-45.659561931721015,-41.511478560499434,-45.659561931721015,-41.511478560499434,-34.63035171606439,-38.14987618889694
1954,-42.206483642923956,-38.058400271702375,-42.206483642923956,-38.058400271702375,-31.17727342726733,-34.69679790009988
1955,-37.135772870360206,-32.987689499138625,-37.135772870360206,-32.987689499138625,-26.10656265470358,-29.62608712753613
1956,-34.134843728307445,-29.986760357085863,-34.134843728307445,-29.986760357085863,-23.10563351265082,-26.62515798548337
1957,-34.83943595511326,-30.691352583891682,-34.83943595511326,-30.691352583891682,-23.810225739456634,-27.329750212289184
1958,-34.99984116579405,-30.85175779457247,-34.99984116579405,-30.85175779457247,-23.970630950137423,-27.490155422969973
1959,-34.070127413587755,-29.922044042366174,-34.070127413587755,-29.922044042366174,-23.040917197931126,-26.560441670763677
1960,-42.34327486119975,-38.19519148997817,-42.34327486119975,-38.19519148997817,-31.314064645543127,-34.83358911837568
1961,-42.766365572859414,-38.61828220163783,-42.766365572859414,-38.61828220163783,-31.73715535720278,-34.56015959046919
1962,-43.70247004331921,-39.55438667209762,-43.70247004331921,-39.55438667209762,-32.67325982766258,-35.49626406092899
1963,-46.356082171287156,-42.207998800065575,-46.356082171287156,-42.207998800065575,-35.32687195563053,-38.14987618889694
1964,-42.9030038824901,-38.754920511268516,-42.9030038824901,-38.754920511268516,-31.87379366683347,-34.69679790009988
1965,-37.83229310992635,-33.684209738704766,-37.83229310992635,-33.684209738704766,-26.80308289426972,-29.62608712753613
1966,-34.831363967873585,-30.683280596652004,-34.831363967873585,-30.683280596652004,-23.80215375221696,-26.62515798548337
1967,-35.5359561946794,-31.387872823457823,-35.5359561946794,-31.387872823457823,-24.506745979022774,-27.329750212289184
1968,-35.69636140536019,-31.54827803413861,-35.69636140536019,-31.54827803413861,-24.667151189703564,-27.490155422969973
1969,-34.766647653153896,-30.618564281932315,-34.766647653153896,-30.618564281932315,-23.737437437497267,-26.560441670763677
1970,-43.03979510076589,-38.89171172954431,-43.03979510076589,-38.89171172954431,-32.01058488510927,-34.83358911837568
1971,-43.58044311714343,-39.43235974592186,-43.58044311714343,-39.43235974592186,-32.551232901486806,-34.56015959046919
1972,-44.51654758760323,-40.36846421638165,-44.51654758760323,-40.36846421638165,-33.48733737194661,-35.49626406092899
1973,-47.17015971557118,-43.0220763443496,-47.17015971557118,-43.0220763443496,-36.14094949991455,-38.14987618889694
1974,-43.71708142677412,-39.56899805555254,-43.71708142677412,-39.56899805555254,-32.68787121111749,-34.69679790009988
1975,-38.64637065421037,-34.49828728298879,-38.64637065421037,-34.49828728298879,-27.617160438553746,-29.62608712753613
1976,-35.64544151215761,-31.49735814093603,-35.64544151215761,-31.49735814093603,-24.616231296500985,-26.62515798548337
1977,-36.350033738963425,-32.201950367741844,-36.350033738963425,-32.201950367741844,-25.3208235233068,-27.329750212289184
1978,-36.51043894964421,-32.36235557842264,-36.51043894964421,-32.36235557842264,-25.481228733987585,-27.490155422969973
1979,-35.580725197437914,-31.43264182621634,-35.580725197437914,-31.43264182621634,-24.55151498178129,-26.560441670763677
1980,-43.85387264504991,-39.70578927382834,-43.85387264504991,-39.70578927382834,-32.824662429393285,-34.83358911837568
1981,-57.480526075089756,-53.332442703868175,-57.480526075089756,-53.332442703868175,-31.04063511763664,-49.970840332265674
1982,-58.41663054554955,-54.26854717432796,-58.41663054554955,-54.26854717432796,-31.97673958809644,-50.90694480272548
1983,-61.0702426735175,-56.92215930229592,-61.0702426735175,-56.92215930229592,-34.63035171606439,-53.560556930693416
1984,-57.61716438472044,-53.46908101349886,-57.61716438472044,-53.46908101349886,-31.17727342726733,-50.10747864189636
1985,-52.54645361215669,-48.39837024093511,-52.54645361215669,-48.39837024093511,-26.10656265470358,-45.036767869332614
1986,-49.54552447010393,-45.39744109888235,-49.54552447010393,-45.39744109888235,-23.10563351265082,-42.03583872727985
1987,-50.25011669690974,-46.10203332568817,-50.25011669690974,-46.10203332568817,-23.810225739456634,-42.74043095408567
1988,-50.410521907590535,-46.262438536368954,-50.410521907590535,-46.262438536368954,-23.970630950137423,-42.90083616476645
1989,-49.48080815538424,-45.33272478416266,-49.48080815538424,-45.33272478416266,-23.040917197931126,-41.971122412560156
1990,-57.753955602996236,-53.605872231774654,-57.753955602996236,-53.605872231774654,-31.314064645543127,-50.24426986017215
1991,-58.1770463146559,-54.028962943434315,-58.17704631465589,-54.028962943434315,-31.73715535720278,-49.970840332265674
1992,-59.11315078511569,-54.965067413894104,-59.11315078511568,-54.965067413894104,-32.67325982766258,-50.90694480272548
1993,-61.76676291308364,-57.61867954186206,-61.76676291308363,-57.61867954186206,-35.32687195563053,-53.560556930693416
1994,-58.31368462428658,-54.165601253065,-58.31368462428657,-54.165601253065,-31.87379366683347,-50.10747864189636
1995,-53.24297385172283,-49.09489048050125,-53.24297385172282,-49.09489048050125,-26.80308289426972,-45.036767869332614
1996,-50.24204470967007,-46.09396133844849,-50.24204470967006,-46.09396133844849,-23.80215375221696,-42.03583872727985
1997,-50.94663693647588,-46.79855356525431,-50.94663693647588,-46.79855356525431,-24.506745979022774,-42.74043095408567
1998,-51.107042147156676,-46.958958775935095,-51.10704214715667,-46.958958775935095,-24.667151189703564,-42.90083616476645
1999,-50.17732839495038,-46.0292450237288,-50.17732839495037,-46.0292450237288,-23.737437437497267,-41.971122412560156
2000,-58.450475842562376,-54.302392471340795,-58.45047584256237,-54.302392471340795,-32.01058488510927,-50.24426986017215
2001,-58.991123858939915,-54.84304048771834,-58.99112385893992,-54.84304048771834,-32.551232901486806,-49.970840332265674
2002,-59.92722832939971,-55.77914495817814,-59.92722832939971,-55.77914495817814,-33.48733737194661,-50.90694480272548
2003,-62.58084045736766,-58.43275708614608,-62.580840457367664,-58.43275708614608,-36.14094949991455,-53.560556930693416
2004,-59.1277621685706,-54.979678797349024,-59.127762168570605,-54.979678797349024,-32.68787121111749,-50.10747864189636
2005,-54.05705139600685,-49.908968024785274,-54.057051396006855,-49.908968024785274,-27.617160438553746,-45.036767869332614
2006,-51.056122253954086,-46.90803888273251,-51.05612225395409,-46.90803888273251,-24.616231296500985,-42.03583872727985
2007,-51.7607144807599,-47.61263110953833,-51.760714480759916,-47.61263110953833,-25.3208235233068,-42.74043095408567
2008,-51.921119691440694,-47.77303632021912,-51.9211196914407,-47.77303632021912,-25.481228733987585,-42.90083616476645
2009,-50.9914059392344,-46.84332256801282,-50.991405939234404,-46.84332256801282,-24.55151498178129,-41.971122412560156
2010,-59.264553386846394,-55.11647001562482,-59.2645533868464,-55.11647001562482,-32.824662429393285,-50.24426986017215
2011,-59.433350997057175,-55.2852676258356,-59.433350997057175,-55.2852676258356,-31.04063511763664,-51.9236652542331
2012,-60.36945546751697,-56.2213720962954,-60.36945546751697,-56.2213720962954,-31.97673958809644,-52.859769724692896
2013,-63.02306759548492,-58.87498422426334,-63.02306759548492,-58.87498422426334,-34.63035171606439,-55.51338185266084
2014,-59.56998930668786,-55.421905935466285,-59.56998930668786,-55.421905935466285,-31.17727342726733,-52.06030356386378
2015,-54.49927853412411,-50.351195162902535,-54.49927853412411,-50.351195162902535,-26.10656265470358,-46.98959279130003
2016,-51.49834939207135,-47.35026602084977,-51.49834939207135,-47.35026602084977,-23.10563351265082,-43.98866364924727
2017,-52.20294161887716,-48.05485824765559,-52.20294161887716,-48.05485824765559,-23.810225739456634,-44.69325587605309
2018,-52.363346829557955,-48.21526345833638,-52.363346829557955,-48.21526345833638,-23.970630950137423,-44.85366108673388
2019,-51.43363307735166,-47.285549706130084,-51.43363307735166,-47.285549706130084,-23.040917197931126,-43.92394733452758
2020,-59.706780524963655,-55.55869715374208,-59.706780524963655,-55.55869715374208,-31.314064645543127,-52.19709478213958
2021,-60.129871236623316,-55.98178786540174,-60.129871236623316,-55.98178786540174,-31.73715535720278,-51.9236652542331
2022,-61.06597570708311,-56.91789233586154,-61.06597570708311,-56.91789233586154,-32.67325982766258,-52.859769724692896
