idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
84,2.8295544212645383,-5.2784382121949305,1.9987157757478151,-7.099360947668114,1.1589951648893944,-6.9489974685700755,2.390422289678627,-6.707654433737302,1.1196187373280253,-5.494831753092065,2.472891006479438,-5.616670347106629
85,2.879079088359183,-5.53534037740883,2.1497702515429262,-7.331340012258683,1.2798387455254825,-7.134580720242532,2.452328123546933,-7.028782140254676,1.1938562662876524,-5.931305611313345,2.623945482274549,-5.848649411697198
86,2.5585052990051524,-5.886780745357856,1.7230263290593655,-7.796667157985988,0.9642174061228431,-7.481068638240167,2.0516108868543945,-7.468082600190959,0.8562154936783296,-6.320390681580993,2.2454624492619146,-6.059793073790857
87,2.320011395830959,-6.336746715693047,1.976449964280576,-7.807583606716024,1.1669563142998114,-7.489801797224196,1.7534935078866543,-8.030540063109946,0.4587258380476982,-7.0703337824799535,2.498886084483125,-6.070709522520893
88,2.4825637865256263,-6.0977176070373025,1.885024935284168,-7.803412738261086,1.093816291102685,-7.4864651024602455,1.956683996254987,-7.731753677290267,0.729646306212454,-6.671952117713403,2.407461055486717,-6.066538654065955
89,2.8038636811950446,-5.4688670275946,1.950454886276888,-7.353544431301761,1.1461602518968619,-7.126570456892784,2.35830886459176,-6.945690452986889,1.374989522073631,-5.514024427230086,2.472891006479438,-5.616670347106629
90,2.6250441838917937,-5.954113357206396,2.101509362071999,-7.58552349589233,1.26700383253295,-7.312153708565241,2.1347844929626962,-7.552248365001633,0.9671138181490875,-6.432611518335537,2.623945482274549,-5.848649411697198
91,1.2070465300325628,-6.734031676973241,-0.248954678534871,-9.454506863331398,-0.7084025056233703,-8.649480712629174,0.37095175096938604,-8.83460043382714,1.4088583918304767,-5.262135264358572,0.26487341375031787,-7.8270406714597085
92,1.3273990120710222,-6.878019278886028,-0.26245067875018674,-9.820456308815041,-0.7185245057848562,-8.923942796741906,0.5314217270206653,-9.02658390304419,1.433747007919114,-5.589700093538262,0.2513774135350033,-8.192990116943351
93,1.3012596715771734,-6.8085627219285305,-0.3741964346188406,-9.8047408680819,-0.8023338226863466,-8.91215621619205,0.49656927302886683,-8.933975160434192,1.436255324272936,-5.459730580582646,0.13963165766634825,-8.177274676210212
94,1.0109909200762175,-6.7143931174628815,-0.5181476880960384,-9.436107646936959,-0.9102972627942449,-8.635681300333344,0.1095442710275923,-8.808415687813328,0.9138153944625694,-5.469586035770871,-0.004319595810849582,-7.80864145506527
95,1.1605512807204672,-6.947866297204312,-0.19373381095122846,-9.622405156973056,-0.6669868549356366,-8.775404432860416,0.30895808521992524,-9.119713260801902,1.2639086823908177,-5.63020413502353,0.3200942813339604,-7.994938965101366
96,1.1818489830991306,-6.93251601904666,-0.07711008274221243,-9.513711327725387,-0.6078043816927323,-8.722169383838523,0.33735502172480974,-9.099246223258366,1.082223956805476,-5.819818759570221,0.26487341375031787,-7.8270406714597085
97,1.2541196826094785,-7.124585403487559,-0.09060608295752814,-9.879660773209032,-0.61792638185422,-8.996631467951257,0.4337159544052736,-9.35533873584623,1.1266403072555005,-6.127855854388525,0.2513774135350033,-8.192990116943351
98,1.2602701928273863,-7.022838995818304,-0.20235183882618202,-9.863945332475891,-0.7017356987557104,-8.984844887401401,0.4419166346958174,-9.21967685895389,1.2070868156420478,-5.919948149400182,0.13963165766634825,-8.177274676210212
99,1.1863357004903676,-6.712335132188718,-0.34630309230337986,-9.495312111330948,-0.8096991388636088,-8.708369971542695,0.34333731157979247,-8.805671707447777,1.1196187373280253,-5.494831753092065,-0.004319595810849582,-7.80864145506527
100,1.248241534358673,-7.033462838706093,-0.021889215158569897,-9.681609621367047,-0.5663887310050022,-8.848093104069768,0.4258784234041997,-9.233841982804277,1.1938562662876524,-5.931305611313345,0.3200942813339604,-7.994938965101366
101,1.0748345697887842,-7.245453026519726,-0.14145793537011522,-9.852622639236918,-0.623848022933398,-8.944135619241909,0.1946689543179924,-9.51649574954881,0.8562154936783296,-6.320390681580993,0.26487341375031787,-7.8270406714597085
102,0.7767171908210413,-7.807910489438714,-0.15495393558542978,-10.218572084720561,-0.6339700230948875,-9.218597703354643,-0.20282088430566247,-10.266439033440793,0.4587258380476982,-7.0703337824799535,0.2513774135350033,-8.192990116943351
