idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
2277,1.9664512731139165,-6.559348734046278,0.3867775927583885,-9.598034146297232,0.8558983258697888,-7.669901681290406,0.8815012407776569,-9.103310498277963,1.5679900329080947,-6.866434173653443,2.6992892889987394,-5.665854652585125
2278,1.0625106514445122,-7.505248036922609,-0.38912022483860537,-10.429876872170128,0.27397496267204247,-8.293783725695079,-0.32375292144821444,-10.364509568779738,0.3627360536752467,-8.127633061162195,1.9233918373877898,-6.497697012471979
2279,0.9631005685919511,-7.371473916045677,-0.5216670019753558,-10.251511377667553,0.17456487981948143,-8.160009604818146,-0.45629969858496483,-10.186144074277161,0.2301892765384963,-7.949267566659619,1.7908450602510395,-6.3193315179694025
2280,1.930658612191929,-6.392424402465145,1.3169484820560804,-8.049714083396783,1.5062108906856622,-6.816872123971412,1.107997922709238,-8.258664642743625,1.6228646540518312,-6.58100726203047,3.053191097354266,-5.09872061999478
2281,2.566435065483778,-5.213565338794506,1.6632318958257812,-7.024577406653595,1.9776290228983413,-5.802371381379944,1.4113044073532128,-7.2765048951261635,3.1028120735083062,-4.652660134771723,2.0954158415122457,-5.757195825405551
2282,2.5478856653609405,-5.418692217772311,2.0419512446062926,-6.8790799064417945,2.280604501922749,-5.685973381210503,1.3881175199549016,-7.5329136310931855,3.0796250488652275,-4.90906900798351,2.5005148696233004,-5.585318645863206
2283,3.0706566137909093,-5.427908409712153,2.7798058106827295,-6.8062092658276185,2.8708881547839,-5.627676868719162,2.0415813427371274,-7.544433733773221,3.733089008892219,-4.92058897341878,3.211989756369195,-5.538827684579574
2284,2.5712188358020276,-5.23539126422044,1.9046885620564051,-6.816382860103198,2.1707943558828418,-5.6358157441396255,1.417284120251023,-7.303787301908581,3.108791786406118,-4.679942541554138,2.3368725077428705,-5.549001278855155
2285,1.6331401142607866,-5.159572561416583,0.1966361196941131,-7.25706352203412,0.8043524019930068,-5.988360273684363,0.2446855810797075,-7.209014060648526,1.9721328480229694,-4.549229699505917,0.6288200653805784,-5.989681940786076
2286,1.8287649031258937,-5.912492876437343,1.1156630215769237,-7.823092414016085,1.6455516489798363,-6.095706130583398,0.04270045517282384,-8.896054980420185,2.2980440100462807,-5.3975952999475965,1.691907916506165,-6.133250671671405
